date,region,product,units,unit_price
2025-07-01,South,Widget B,19,12.0
2025-07-04,West,Gadget C,23,15.5
2025-07-10,North,Service D,8,20.0
2025-07-10,West,Widget A,18,9.5
2025-07-11,East,Widget A,20,9.5
2025-07-13,West,Gadget C,5,15.5
2025-07-13,North,Widget A,13,9.5
2025-07-22,North,Widget A,8,9.5
2025-07-22,West,Widget A,16,9.5
2025-07-23,West,Widget A,11,9.5
2025-07-26,East,Gadget C,4,15.5
2025-07-28,West,Widget B,21,12.0
2025-07-30,North,Gadget C,1,15.5
2025-07-30,East,Gadget C,24,15.5
2025-08-03,East,Service D,23,20.0
2025-08-19,South,Gadget C,11,15.5
2025-08-20,South,Widget A,20,9.5
2025-08-21,East,Widget B,7,12.0
2025-08-26,South,Widget B,4,12.0
2025-08-30,South,Widget A,3,9.5
2025-08-31,East,Service D,3,20.0
2025-08-31,South,Widget A,18,9.5
2025-09-05,West,Service D,23,20.0
2025-09-06,West,Widget B,14,12.0
2025-09-09,North,Widget A,10,9.5
2025-09-15,South,Service D,17,20.0
2025-09-21,West,Widget A,14,9.5
2025-09-23,South,Widget A,12,9.5
2025-09-25,North,Widget A,2,9.5
2025-09-28,West,Widget A,13,9.5
